gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn_Label,total_complaints,resolved_complaints,unresolved_complaints,call_drop_rate,data_usage_gb,throughput_Mbps,complaints_per_tenure,unresolved_ratio,drop_rate_per_tenure,data_usage_per_tenure,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TechSupport_No internet service,TechSupport_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,MultipleLines_No phone service,MultipleLines_Yes,Contract_One year,Contract_Two year
1,0,1,1,13,1,1,49.95,0,17,8,9,0.0386817226890756,0.6627644856770833,31.071666666666665,1.2142857142857142,0.5,0.0027629801920768284,0.04734032040550595,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,16,1,0,18.95,0,10,3,7,0.0211640211640211,0.91239013671875,28.54083333333333,0.5882352941176471,0.6363636363636364,0.0012449424214130058,0.053670008042279414,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,1,0,58,1,0,100.35,0,10,3,7,0.0608823230146759,0.69982666015625,31.4025,0.1694915254237288,0.6363636363636364,0.001031903779909761,0.011861468816207626,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,0,49,1,1,103.7,1,9,0,9,0.0362103174603174,0.553369140625,23.5425,0.18,0.9,0.000724206349206348,0.0110673828125,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
1,0,0,0,25,1,1,105.5,0,7,1,6,0.0342261904761904,0.7920760091145834,29.839166666666667,0.2692307692307692,0.75,0.0013163919413919387,0.03046446188902244,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
0,0,1,1,69,1,0,113.25,0,10,0,10,0.0189102564102564,0.72118896484375,25.206666666666667,0.14285714285714285,0.9090909090909091,0.00027014652014651996,0.010302699497767857,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,0,0,0,52,1,0,20.65,0,17,7,10,0.0275742775742775,0.7312467447916667,26.715,0.32075471698113206,0.5555555555555556,0.000520269388193915,0.0137971083922956,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,71,1,0,106.7,0,17,4,13,0.0513544240130927,0.8437711588541666,32.193333333333335,0.2361111111111111,0.7222222222222222,0.000713255889070732,0.011719043872974537,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
0,0,1,1,10,1,0,55.2,1,8,4,4,0.0098039215686274,0.8880159505208334,25.436666666666667,0.7272727272727273,0.4444444444444444,0.0008912655971479455,0.08072872277462122,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,21,1,1,90.05,0,6,3,3,0.0516612200435729,0.8051603190104166,28.984166666666667,0.2727272727272727,0.42857142857142855,0.0023482372747078593,0.0365981963186553,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1,1,0,0,1,0,1,39.65,1,16,3,13,0.034827441077441,0.6976814778645833,28.67083333333333,8.0,0.7647058823529411,0.0174137205387205,0.34884073893229167,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,0,1,0,12,1,0,19.8,0,9,1,8,0.0119047619047619,0.8466324869791667,29.82583333333333,0.6923076923076923,0.8,0.0009157509157509154,0.06512557592147436,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,1,0,20.15,1,19,4,15,0.026973977389999,0.7705175781249999,25.766666666666666,9.5,0.75,0.0134869886949995,0.38525878906249994,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,58,1,1,59.9,0,11,5,6,0.0182748538011695,0.59260498046875,28.771666666666665,0.1864406779661017,0.5,0.0003097432847655847,0.010044152211334745,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,1,1,49,1,0,59.6,0,17,3,14,0.0224945533769063,0.8455069986979167,34.155,0.34,0.7777777777777778,0.000449891067538126,0.016910139973958335,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30,1,1,55.3,0,11,5,6,0.0359039449112978,0.6432145182291668,29.924166666666665,0.3548387096774194,0.5,0.0011581917713321872,0.020748855426747315,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,47,1,1,99.35,1,13,2,11,0.0494047619047619,0.5843408203125,27.21,0.2708333333333333,0.7857142857142857,0.001029265873015873,0.01217376708984375,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1,0,1,1,1,0,0,30.2,1,20,7,13,0.0143518518518518,0.669921875,22.04083333333333,10.0,0.6190476190476191,0.0071759259259259,0.3349609375,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,72,1,1,90.25,0,18,4,14,0.0101851851851851,0.85419189453125,26.231666666666666,0.2465753424657534,0.7368421052631579,0.000139523084728563,0.011701258829195205,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,0,0,1,17,1,1,64.7,1,12,3,9,0.0124777183600713,0.86083251953125,24.2,0.6666666666666666,0.6923076923076923,0.0006932065755595166,0.04782402886284722,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,0,71,1,1,96.35,0,5,2,3,0.011574074074074,0.7325569661458333,20.109166666666667,0.06944444444444445,0.5,0.00016075102880658333,0.010174402307581019,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
1,1,1,0,2,1,1,95.5,0,8,2,6,0.0347222222222222,0.9334130859375,32.215,2.6666666666666665,0.6666666666666666,0.011574074074074068,0.3111376953125,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
0,0,1,1,27,1,0,66.15,0,5,1,4,0.035515873015873,0.6721468098958333,32.0125,0.17857142857142858,0.6666666666666666,0.0012684240362811786,0.024005243210565474,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,0,0,0,1,1,0,20.2,0,16,4,12,0.0149305555555555,0.5565738932291667,26.355,8.0,0.7058823529411765,0.00746527777777775,0.27828694661458336,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,1,0,0,1,1,0,45.25,0,12,3,9,0.0337710084033613,0.6434114583333334,22.566666666666663,6.0,0.6923076923076923,0.01688550420168065,0.3217057291666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,72,1,0,99.9,0,13,7,6,0.0103383458646616,0.6649015299479166,29.52583333333333,0.1780821917808219,0.42857142857142855,0.0001416211762282411,0.00910824013627283,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,5,1,1,69.7,1,14,4,10,0.0381691565515094,0.8354378255208333,23.584166666666665,2.3333333333333335,0.6666666666666666,0.006361526091918234,0.13923963758680555,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,46,1,1,74.8,0,6,1,5,0.0571455505279034,0.8680769856770834,28.429166666666664,0.1276595744680851,0.7142857142857143,0.001215862777189434,0.018469723099512413,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,34,1,1,106.35,1,14,2,12,0.0381944444444444,0.7242960611979167,21.391666666666666,0.4,0.8,0.00109126984126984,0.020694173177083334,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
0,0,0,0,11,1,1,97.85,1,12,2,10,0.0291666666666666,0.7148974609375,26.926666666666662,1.0,0.7692307692307693,0.00243055555555555,0.05957478841145833,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,1,1,10,1,0,49.55,0,20,4,16,0.0196759259259259,0.8001472981770833,36.19166666666667,1.8181818181818181,0.7619047619047619,0.0017887205387205362,0.07274066347064394,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,1,70,1,1,69.2,0,12,4,8,0.025735294117647,0.83970703125,33.565000000000005,0.16901408450704225,0.6153846153846154,0.00036246893123446477,0.011826859595070422,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
0,0,1,1,17,1,0,20.75,0,7,0,7,0.0223214285714285,0.8370743815104166,25.745,0.3888888888888889,0.875,0.001240079365079361,0.046504132306134253,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,63,1,1,79.85,0,17,3,14,0.0378472222222222,0.7014900716145833,29.495833333333334,0.265625,0.7777777777777778,0.0005913628472222219,0.010960782368977864,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1
0,0,1,0,13,1,1,76.2,0,18,4,14,0.0138888888888888,0.6344287109375001,32.84583333333333,1.2857142857142858,0.7368421052631579,0.0009920634920634857,0.04531633649553572,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,49,1,1,84.5,0,6,2,4,0.0198412698412698,0.7582633463541667,20.63833333333333,0.12,0.5714285714285714,0.00039682539682539596,0.015165266927083334,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,2,1,0,49.25,0,14,6,8,0.0124999999999999,0.9569181315104168,23.6325,4.666666666666667,0.5333333333333333,0.004166666666666634,0.31897271050347226,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,1,80.65,1,17,3,14,0.0281746031746031,0.9464697265625,28.94083333333333,5.666666666666667,0.7777777777777778,0.009391534391534366,0.31548990885416667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,52,1,1,79.75,0,20,5,15,0.0,0.9673128255208332,34.17166666666667,0.37735849056603776,0.7142857142857143,0.0,0.018251185387185533,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
0,0,1,1,69,1,1,64.15,0,9,3,6,0.0221509971509971,0.8131526692708334,22.225833333333338,0.12857142857142856,0.6,0.0003164428164428157,0.011616466703869049,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,1,0,0,43,1,1,90.25,0,11,2,9,0.0239991830065359,0.7518172200520833,27.30333333333333,0.25,0.75,0.0005454359774212705,0.01708675500118371,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,15,1,1,99.1,1,8,0,8,0.0211640211640211,0.8150455729166666,25.02916666666667,0.5,0.8888888888888888,0.0013227513227513188,0.05094034830729166,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,1,1,0,25,1,1,69.5,0,18,3,15,0.0246851102114259,0.8137093098958333,21.621666666666663,0.6923076923076923,0.7894736842105263,0.0009494273158240731,0.03129651191907051,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,1,0,8,1,1,80.65,1,7,0,7,0.0393180467193625,0.7854280598958333,29.7525,0.7777777777777778,0.875,0.004368671857706945,0.08726978443287037,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,1,1,60,1,1,74.85,0,20,3,17,0.0101190476190476,0.6630655924479166,22.4325,0.32786885245901637,0.8095238095238095,0.00016588602654176395,0.010869927745047813,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,1,0,0,18,1,1,95.45,1,15,5,10,0.0101190476190476,0.7564689127604166,22.171666666666667,0.7894736842105263,0.625,0.0005325814536340843,0.03981415330317982,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0,0,1,1,63,1,1,99.65,0,9,3,6,0.0228009259259259,0.7539640299479166,27.491666666666664,0.140625,0.6,0.0003562644675925922,0.011780687967936196,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
1,1,1,1,66,1,1,108.45,0,7,0,7,0.0222431077694235,0.8198421223958333,26.83333333333333,0.1044776119402985,0.875,0.00033198668312572384,0.012236449587997512,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0
0,0,1,1,34,1,0,24.95,0,6,2,4,0.0487024853801169,0.7418798828125,23.656666666666663,0.17142857142857143,0.5714285714285714,0.0013914995822890542,0.02119656808035714,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
0,0,0,0,72,1,1,107.5,0,14,6,8,0.0244091130604288,0.6001399739583334,24.11583333333333,0.1917808219178082,0.5333333333333333,0.0003343714117866959,0.008221095533675801,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,0,1,0,47,1,1,100.5,0,12,0,12,0.0092592592592592,0.6834423828124999,21.79083333333333,0.25,0.9230769230769231,0.0001929012345679,0.014238382975260415,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,60,1,1,89.9,0,6,3,3,0.0234204793028322,0.6876733398437501,27.266666666666666,0.09836065573770492,0.42857142857142855,0.0003839422836529869,0.011273333440061477,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,0,72,0,0,42.1,0,18,3,15,0.0573037987124674,0.8149983723958334,24.31,0.2465753424657534,0.7894736842105263,0.0007849835440064027,0.011164361265696348,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
0,0,1,1,18,1,1,54.4,0,20,2,18,0.019704592363261,0.7088362630208334,24.013333333333332,1.0526315789473684,0.8571428571428571,0.0010370838085926842,0.0373071717379386,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,9,1,0,94.4,1,15,2,13,0.0194940476190476,0.9511954752604166,32.288333333333334,1.5,0.8125,0.0019494047619047598,0.09511954752604165,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0,0,0,0,3,1,1,75.3,0,10,4,6,0.0413268018531176,0.5721638997395834,31.694166666666664,2.5,0.5454545454545454,0.0103317004632794,0.14304097493489584,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1,0,1,0,47,1,1,78.9,0,16,2,14,0.0101190476190476,0.9113037109375,33.54666666666667,0.3333333333333333,0.8235294117647058,0.00021081349206349167,0.018985493977864584,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,31,1,0,79.2,0,5,1,4,0.0283564814814814,0.49919677734375,25.1675,0.15625,0.6666666666666666,0.0008861400462962937,0.015599899291992188,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,0,1,1,50,1,0,20.15,0,20,7,13,0.0311237373737373,0.7623152669270833,28.91416666666667,0.39215686274509803,0.6190476190476191,0.0006102693602693588,0.014947358175040849,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,0,0,10,1,1,79.85,0,9,2,7,0.0460526315789473,0.8416316731770834,26.98583333333333,0.8181818181818182,0.7,0.004186602870813391,0.07651197028882577,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,49.05,0,11,4,7,0.062256335282651,0.6474210611979166,24.5475,5.5,0.5833333333333334,0.0311281676413255,0.3237105305989583,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,52,1,1,20.4,0,14,2,12,0.0326797385620915,0.86144287109375,27.675,0.2641509433962264,0.8,0.0006165988407941792,0.016253639077240565,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,1,1,1,64,1,1,111.6,0,20,3,17,0.0390814777327935,0.6714143880208333,28.484166666666667,0.3076923076923077,0.8095238095238095,0.0006012535035814385,0.010329452123397436,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,1,1,62,1,1,24.25,0,16,5,11,0.0405092592592592,0.6873942057291668,33.285833333333336,0.25396825396825395,0.6470588235294118,0.0006430041152263366,0.010911019138558202,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
0,0,0,1,3,1,1,64.5,0,8,3,5,0.0215686274509803,0.6064754231770834,35.0625,2.0,0.5555555555555556,0.005392156862745075,0.15161885579427084,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,56,1,0,110.5,0,19,7,12,0.0591269841269841,0.73490234375,29.139166666666668,0.3333333333333333,0.6,0.001037315510999721,0.012893023574561404,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
0,0,0,0,46,1,0,55.65,0,13,3,10,0.0148148148148148,0.8034659830729166,26.09166666666667,0.2765957446808511,0.7142857142857143,0.0003152088258471234,0.017095020916445033,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,1,8,1,0,54.65,0,20,5,15,0.0398478835978836,0.9286930338541666,25.450833333333332,2.2222222222222223,0.7142857142857143,0.0044275426219870665,0.10318811487268517,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,30,1,1,74.75,0,20,2,18,0.0466880341880341,0.80797607421875,28.28333333333333,0.6451612903225806,0.8571428571428571,0.001506065618968842,0.026063744329637095,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,0,1,1,45,1,1,25.9,0,11,2,9,0.0043859649122807,0.9108504231770834,24.714166666666667,0.2391304347826087,0.75,9.534706331044999e-05,0.019801096156023552,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
0,0,0,1,1,1,1,79.35,1,14,1,13,0.0152403066489753,0.7621630859374999,37.235,7.0,0.8666666666666667,0.00762015332448765,0.38108154296874996,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,11,0,0,50.55,0,5,2,3,0.0166666666666666,0.8738533528645833,33.16916666666666,0.4166666666666667,0.5,0.0013888888888888833,0.07282111273871528,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
0,0,1,0,7,1,1,75.15,1,6,1,5,0.0104166666666666,0.7910896809895833,25.2875,0.75,0.7142857142857143,0.001302083333333325,0.09888621012369792,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,42,1,1,103.8,0,5,3,2,0.027020202020202,0.73189453125,29.144166666666667,0.11627906976744186,0.3333333333333333,0.0006283767911674883,0.017020803052325582,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
0,0,1,0,49,1,1,20.15,0,8,4,4,0.0182748538011695,0.7228564453124999,28.094166666666663,0.16,0.4444444444444444,0.00036549707602339,0.014457128906249998,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,0,0,9,1,1,99.3,0,17,5,12,0.0424603174603174,0.7396362304687499,29.46,1.7,0.6666666666666666,0.00424603174603174,0.073963623046875,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
0,0,1,0,35,1,1,62.15,0,17,4,13,0.0376984126984126,0.6019970703125,22.5475,0.4722222222222222,0.7222222222222222,0.0010471781305114612,0.01672214084201389,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,48,1,0,20.65,0,5,1,4,0.0396164021164021,0.7822721354166666,29.97583333333333,0.10204081632653061,0.6666666666666666,0.000808498002375553,0.015964737457482992,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,1,1,46,1,1,19.95,0,16,8,8,0.0716880341880342,0.7566959635416667,28.54083333333333,0.3404255319148936,0.47058823529411764,0.0015252773231496637,0.0160999141179078,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,1,0,29,0,0,33.75,0,8,3,5,0.0374777183600713,0.5462801106770834,24.19333333333333,0.26666666666666666,0.5555555555555556,0.0012492572786690433,0.018209337022569445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,1,30,1,0,82.05,0,17,5,12,0.0333694083694083,0.639638671875,29.2725,0.5483870967741935,0.6666666666666666,0.001076432528045429,0.02063350554435484,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,74.7,0,7,3,4,0.0224284158107687,0.7952978515625001,27.22,3.5,0.5,0.01121420790538435,0.39764892578125005,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,66,1,1,84.0,0,16,5,11,0.0467592592592592,0.70578369140625,22.90333333333333,0.23880597014925373,0.6470588235294118,0.0006978993919292419,0.01053408494636194,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
0,0,0,0,65,1,1,111.05,0,7,2,5,0.0296130952380952,0.8664192708333333,26.20083333333333,0.10606060606060606,0.625,0.0004486832611832606,0.013127564709595958,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,0,0,72,1,1,100.9,0,10,0,10,0.0226220538720538,0.45244140625,29.758333333333336,0.136986301369863,0.9090909090909091,0.00030989114893224383,0.006197827482876712,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,0,0,0,12,1,1,78.95,1,19,8,11,0.0284090909090909,0.9587906901041668,30.97,1.4615384615384615,0.55,0.0021853146853146846,0.07375313000801284,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,71,1,1,66.85,0,20,4,16,0.0569889601139601,0.7091642252604166,24.99416666666667,0.2777777777777778,0.7619047619047619,0.0007915133349161124,0.009849503128616897,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,5,1,0,21.05,1,13,4,9,0.0244047619047619,0.7591609700520833,26.4475,2.1666666666666665,0.6428571428571429,0.004067460317460317,0.12652682834201387,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,52,1,0,21.0,0,11,1,10,0.0179843304843304,0.6621199544270834,24.049166666666668,0.20754716981132076,0.8333333333333334,0.0003393269902703849,0.012492829328812894,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1,1,0,25,1,1,98.5,1,6,4,2,0.0303118908382066,0.8639754231770834,27.049166666666668,0.23076923076923078,0.2857142857142857,0.0011658419553156384,0.033229823968349365,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,1,1,0,20.2,0,6,2,4,0.011574074074074,0.886845703125,27.956666666666667,3.0,0.5714285714285714,0.005787037037037,0.4434228515625,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,1,1,1,1,0,19.45,0,17,2,15,0.0147435897435897,0.7004337565104167,27.46666666666667,8.5,0.8333333333333334,0.00737179487179485,0.35021687825520836,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,38,1,0,95.0,0,9,3,6,0.0127840909090909,0.9183748372395834,22.8975,0.23076923076923078,0.6,0.00032779720279720254,0.023548072749732907,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
0,1,1,0,66,0,0,45.55,0,20,5,15,0.0400867224880382,0.6159293619791667,20.633333333333333,0.29850746268656714,0.7142857142857143,0.0005983092908662418,0.009192975551927862,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
