,complaint_id,customerID,date,issue,status
29572,CMP361968,0013-SMEOE,2024-05-15,Service outage,Closed
29573,CMP236476,0013-SMEOE,2024-06-15,App issue,In Progress
29575,CMP738723,0013-SMEOE,2024-06-18,Frequent disconnection,In Progress
29570,CMP151233,0013-SMEOE,2024-06-20,Slow internet,Resolved
29577,CMP195608,0013-SMEOE,2024-06-23,Slow internet,Closed
29566,CMP510746,0013-SMEOE,2024-09-03,Poor customer service,In Progress
29578,CMP960507,0013-SMEOE,2024-09-29,Billing error,Open
29571,CMP259467,0013-SMEOE,2024-10-06,Slow internet,Open
29576,CMP355387,0013-SMEOE,2024-10-11,Service outage,In Progress
29568,CMP339315,0013-SMEOE,2024-10-23,Poor customer service,Open
29569,CMP760544,0013-SMEOE,2024-11-28,Frequent disconnection,Closed
29567,CMP388964,0013-SMEOE,2025-01-23,Network issue,Resolved
29574,CMP752286,0013-SMEOE,2025-03-09,Poor customer service,Resolved
29564,CMP419349,0013-SMEOE,2025-03-19,Slow internet,Closed
32753,CMP897354,0014-BMAQU,2024-06-02,Billing error,Closed
32752,CMP901366,0014-BMAQU,2024-07-05,Billing error,Open
32749,CMP434163,0014-BMAQU,2024-08-05,Slow internet,Open
32755,CMP517844,0014-BMAQU,2024-08-25,Service outage,Closed
32739,CMP252048,0014-BMAQU,2024-09-29,Frequent disconnection,Resolved
32744,CMP668202,0014-BMAQU,2024-10-01,Poor customer service,Closed
32750,CMP681766,0014-BMAQU,2024-10-06,Frequent disconnection,Open
32754,CMP255909,0014-BMAQU,2024-10-15,Frequent disconnection,Closed
32738,CMP706201,0014-BMAQU,2024-11-18,Service outage,Open
32741,CMP529914,0014-BMAQU,2024-11-29,Unexpected charges,In Progress
32746,CMP243748,0014-BMAQU,2025-01-07,Poor customer service,Closed
32751,CMP671400,0014-BMAQU,2025-02-06,Poor customer service,Resolved
32742,CMP875449,0014-BMAQU,2025-02-20,Network issue,Closed
32745,CMP563659,0014-BMAQU,2025-02-23,Poor customer service,Closed
32748,CMP159137,0014-BMAQU,2025-02-28,Slow internet,In Progress
32740,CMP758222,0014-BMAQU,2025-03-20,Frequent disconnection,Closed
32743,CMP352984,0014-BMAQU,2025-03-28,Unexpected charges,Closed
32747,CMP923825,0014-BMAQU,2025-04-10,Poor customer service,Resolved
28391,CMP390162,0015-UOCOJ,2024-06-05,Poor customer service,Resolved
28392,CMP355042,0015-UOCOJ,2024-08-15,Frequent disconnection,In Progress
28390,CMP141507,0015-UOCOJ,2024-10-20,Slow internet,In Progress
28398,CMP280884,0015-UOCOJ,2024-10-22,Billing error,In Progress
28393,CMP596496,0015-UOCOJ,2024-11-12,Poor customer service,In Progress
28396,CMP898121,0015-UOCOJ,2025-01-17,Unexpected charges,In Progress
28395,CMP349311,0015-UOCOJ,2025-01-18,Billing error,In Progress
28394,CMP359523,0015-UOCOJ,2025-03-31,Billing error,Open
28397,CMP570711,0015-UOCOJ,2025-04-06,Slow internet,In Progress
58383,CMP930515,0016-QLJIS,2024-05-27,Slow internet,Resolved
58389,CMP399181,0016-QLJIS,2024-06-07,Service outage,Closed
58388,CMP155684,0016-QLJIS,2024-06-17,App issue,Resolved
58391,CMP309032,0016-QLJIS,2024-08-11,Billing error,Resolved
58377,CMP778167,0016-QLJIS,2024-08-19,Unexpected charges,In Progress
58392,CMP457421,0016-QLJIS,2024-09-07,App issue,In Progress
58387,CMP510751,0016-QLJIS,2024-11-10,Unexpected charges,Open
58381,CMP117990,0016-QLJIS,2024-12-16,Billing error,In Progress
58384,CMP987522,0016-QLJIS,2024-12-26,Network issue,Open
58379,CMP135948,0016-QLJIS,2025-01-31,Service outage,In Progress
58385,CMP764494,0016-QLJIS,2025-02-18,App issue,In Progress
58380,CMP879176,0016-QLJIS,2025-02-21,Slow internet,In Progress
58382,CMP336757,0016-QLJIS,2025-03-03,App issue,Closed
58386,CMP472655,0016-QLJIS,2025-03-27,Frequent disconnection,Resolved
58390,CMP311644,0016-QLJIS,2025-03-28,App issue,Closed
58378,CMP284152,0016-QLJIS,2025-04-13,Unexpected charges,Resolved
25008,CMP229639,0017-DINOC,2024-05-18,Slow internet,Open
25004,CMP161273,0017-DINOC,2024-09-29,App issue,In Progress
25002,CMP327903,0017-DINOC,2024-11-21,Frequent disconnection,Closed
25005,CMP844134,0017-DINOC,2024-11-24,Network issue,Closed
25009,CMP162894,0017-DINOC,2024-12-29,Poor customer service,Closed
25006,CMP249095,0017-DINOC,2025-01-05,Poor customer service,In Progress
25007,CMP828524,0017-DINOC,2025-03-13,Network issue,Open
25003,CMP177815,0017-DINOC,2025-03-18,Poor customer service,In Progress
52140,CMP740039,0017-IUDMW,2024-06-25,Poor customer service,In Progress
52146,CMP445686,0017-IUDMW,2024-08-27,Network issue,Resolved
52142,CMP309312,0017-IUDMW,2024-09-19,Unexpected charges,In Progress
52139,CMP862373,0017-IUDMW,2024-10-25,Poor customer service,Resolved
52138,CMP242026,0017-IUDMW,2024-12-14,Frequent disconnection,In Progress
52145,CMP251787,0017-IUDMW,2025-01-28,App issue,In Progress
52143,CMP355078,0017-IUDMW,2025-02-02,Service outage,Closed
52141,CMP240910,0017-IUDMW,2025-02-15,Frequent disconnection,Closed
52144,CMP392142,0017-IUDMW,2025-03-15,Slow internet,Closed
59191,CMP798659,0018-NYROU,2024-06-12,Unexpected charges,Closed
59186,CMP369712,0018-NYROU,2024-06-27,Network issue,Open
59179,CMP961992,0018-NYROU,2024-06-30,Service outage,Open
59184,CMP904321,0018-NYROU,2024-07-27,Poor customer service,Closed
59178,CMP715289,0018-NYROU,2024-08-11,Frequent disconnection,Open
59187,CMP673167,0018-NYROU,2024-08-18,Slow internet,Open
59189,CMP111981,0018-NYROU,2024-09-11,Network issue,In Progress
59193,CMP387220,0018-NYROU,2024-09-22,App issue,Resolved
59188,CMP716557,0018-NYROU,2024-10-03,Billing error,Open
59177,CMP433241,0018-NYROU,2024-10-08,Unexpected charges,Open
59194,CMP349550,0018-NYROU,2024-10-15,Frequent disconnection,Open
59185,CMP313497,0018-NYROU,2024-11-09,Unexpected charges,Resolved
59181,CMP983174,0018-NYROU,2024-11-25,App issue,Resolved
59183,CMP208904,0018-NYROU,2025-01-15,Network issue,Closed
59180,CMP866825,0018-NYROU,2025-02-08,Unexpected charges,Closed
59190,CMP499288,0018-NYROU,2025-03-02,Slow internet,Closed
59192,CMP646943,0018-NYROU,2025-04-06,Unexpected charges,Closed
59182,CMP676171,0018-NYROU,2025-04-09,Unexpected charges,Resolved
24449,CMP536890,0019-EFAEP,2024-06-15,Billing error,Resolved
24453,CMP648969,0019-EFAEP,2024-08-05,Poor customer service,In Progress
24448,CMP332590,0019-EFAEP,2024-08-14,Unexpected charges,Resolved
24454,CMP624736,0019-EFAEP,2024-09-19,Frequent disconnection,In Progress
24447,CMP158856,0019-EFAEP,2024-10-25,Slow internet,In Progress
24451,CMP809346,0019-EFAEP,2024-11-08,App issue,In Progress
24456,CMP331632,0019-EFAEP,2024-11-10,App issue,Closed
24452,CMP801703,0019-EFAEP,2024-11-23,Frequent disconnection,In Progress
24455,CMP702111,0019-EFAEP,2025-02-21,Billing error,Resolved
24450,CMP338568,0019-EFAEP,2025-04-16,Service outage,Closed
49952,CMP154016,0019-GFNTW,2024-05-01,Frequent disconnection,Closed
49963,CMP313837,0019-GFNTW,2024-06-10,Service outage,Closed
49958,CMP334225,0019-GFNTW,2024-08-20,App issue,Resolved
49957,CMP769392,0019-GFNTW,2024-09-07,App issue,In Progress
49962,CMP314062,0019-GFNTW,2024-09-19,Service outage,In Progress
49960,CMP565893,0019-GFNTW,2024-12-25,Slow internet,In Progress
49953,CMP903123,0019-GFNTW,2024-12-29,Billing error,In Progress
49959,CMP583672,0019-GFNTW,2025-01-11,Billing error,Resolved
49956,CMP214553,0019-GFNTW,2025-01-28,Poor customer service,In Progress
49951,CMP518715,0019-GFNTW,2025-02-20,Service outage,Resolved
49964,CMP957028,0019-GFNTW,2025-03-12,Poor customer service,In Progress
49955,CMP277411,0019-GFNTW,2025-03-17,Frequent disconnection,Resolved
49961,CMP750186,0019-GFNTW,2025-03-23,Slow internet,Resolved
49954,CMP224773,0019-GFNTW,2025-04-30,Unexpected charges,In Progress
29223,CMP485497,0020-INWCK,2024-05-14,Network issue,In Progress
29220,CMP671396,0020-INWCK,2024-06-10,Billing error,Resolved
29221,CMP180866,0020-INWCK,2024-06-26,Poor customer service,Resolved
29222,CMP139706,0020-INWCK,2024-07-07,App issue,Closed
29219,CMP549904,0020-INWCK,2024-08-02,Frequent disconnection,Closed
29216,CMP449730,0020-INWCK,2024-09-13,Frequent disconnection,Open
29209,CMP705102,0020-INWCK,2024-10-19,Poor customer service,Resolved
29225,CMP111360,0020-INWCK,2024-10-25,App issue,In Progress
29211,CMP817017,0020-INWCK,2024-10-26,Billing error,Resolved
29218,CMP383881,0020-INWCK,2024-12-15,Network issue,Open
29226,CMP807431,0020-INWCK,2024-12-21,Billing error,Closed
29217,CMP294642,0020-INWCK,2024-12-31,Service outage,In Progress
29227,CMP757853,0020-INWCK,2025-02-05,Billing error,Closed
29213,CMP477356,0020-INWCK,2025-02-06,Poor customer service,Resolved
29224,CMP622136,0020-INWCK,2025-02-27,Service outage,In Progress
29215,CMP961911,0020-INWCK,2025-03-01,Poor customer service,In Progress
29210,CMP295960,0020-INWCK,2025-03-09,Network issue,Open
29214,CMP509309,0020-INWCK,2025-03-28,Service outage,Resolved
29212,CMP570854,0020-INWCK,2025-04-27,Service outage,Closed
74541,CMP759951,0020-JDNXP,2024-05-02,Network issue,Closed
74530,CMP363829,0020-JDNXP,2024-05-17,Frequent disconnection,Closed
74532,CMP822106,0020-JDNXP,2024-06-17,Service outage,Closed
74536,CMP655809,0020-JDNXP,2024-06-23,Service outage,Closed
74529,CMP993131,0020-JDNXP,2024-07-06,App issue,Resolved
74534,CMP436884,0020-JDNXP,2024-07-13,Network issue,In Progress
74538,CMP553662,0020-JDNXP,2024-07-27,Poor customer service,In Progress
74539,CMP938388,0020-JDNXP,2024-09-23,Poor customer service,Closed
74535,CMP196401,0020-JDNXP,2024-10-14,Poor customer service,Resolved
74533,CMP177745,0020-JDNXP,2024-11-04,Frequent disconnection,Closed
74542,CMP155469,0020-JDNXP,2024-11-30,Service outage,Resolved
74537,CMP228766,0020-JDNXP,2025-02-04,Billing error,In Progress
74540,CMP367519,0020-JDNXP,2025-03-08,Unexpected charges,Closed
74531,CMP405352,0020-JDNXP,2025-03-26,Unexpected charges,In Progress
74528,CMP912963,0020-JDNXP,2025-04-21,Service outage,Closed
74527,CMP303165,0020-JDNXP,2025-04-30,App issue,Open
4330,CMP843879,0021-IKXGC,2024-05-06,Poor customer service,In Progress
4334,CMP113216,0021-IKXGC,2024-05-13,Unexpected charges,Resolved
4332,CMP786313,0021-IKXGC,2024-06-26,Network issue,Resolved
4336,CMP698303,0021-IKXGC,2024-08-19,Billing error,Open
4333,CMP837658,0021-IKXGC,2024-10-17,Unexpected charges,Open
4331,CMP722688,0021-IKXGC,2024-11-23,Slow internet,Closed
4329,CMP100548,0021-IKXGC,2024-11-26,Unexpected charges,Resolved
4335,CMP859596,0021-IKXGC,2025-04-01,Billing error,Resolved
31460,CMP235676,0022-TCJCI,2024-06-21,Frequent disconnection,Resolved
31464,CMP177135,0022-TCJCI,2024-07-19,Billing error,Resolved
31458,CMP893384,0022-TCJCI,2024-09-08,Billing error,Resolved
31462,CMP172611,0022-TCJCI,2024-09-28,Network issue,Open
31461,CMP344307,0022-TCJCI,2024-11-10,Unexpected charges,Resolved
31465,CMP947961,0022-TCJCI,2025-01-10,Unexpected charges,Open
31457,CMP408611,0022-TCJCI,2025-01-19,Unexpected charges,Closed
31466,CMP513399,0022-TCJCI,2025-03-18,Service outage,Closed
31459,CMP955120,0022-TCJCI,2025-03-23,Frequent disconnection,Open
31463,CMP447155,0022-TCJCI,2025-03-30,Frequent disconnection,Resolved
54463,CMP827589,0023-HGHWL,2024-05-29,Network issue,Open
54464,CMP838151,0023-HGHWL,2024-06-12,Unexpected charges,Closed
54465,CMP790695,0023-HGHWL,2024-07-28,Poor customer service,Open
54461,CMP307071,0023-HGHWL,2024-08-07,Unexpected charges,Closed
54459,CMP392163,0023-HGHWL,2024-10-21,App issue,Resolved
54457,CMP758257,0023-HGHWL,2024-11-25,Service outage,Closed
54462,CMP647669,0023-HGHWL,2024-12-22,Network issue,Resolved
54460,CMP793251,0023-HGHWL,2025-02-21,Frequent disconnection,In Progress
54458,CMP732824,0023-HGHWL,2025-04-09,Service outage,Open
30292,CMP765238,0023-UYUPN,2024-06-21,App issue,Open
30291,CMP321443,0023-UYUPN,2024-08-15,Frequent disconnection,Resolved
30282,CMP118405,0023-UYUPN,2024-09-13,Service outage,Resolved
30285,CMP274498,0023-UYUPN,2024-09-25,Frequent disconnection,In Progress
30283,CMP529235,0023-UYUPN,2024-10-04,Frequent disconnection,Open
30287,CMP518537,0023-UYUPN,2024-10-09,Unexpected charges,Open
30295,CMP794736,0023-UYUPN,2024-10-19,Billing error,Resolved
30296,CMP982005,0023-UYUPN,2024-11-30,Network issue,In Progress
30294,CMP623418,0023-UYUPN,2024-12-05,Network issue,Open
30293,CMP369606,0023-UYUPN,2024-12-06,Frequent disconnection,Resolved
30289,CMP839370,0023-UYUPN,2024-12-12,App issue,Resolved
30286,CMP112153,0023-UYUPN,2024-12-18,Poor customer service,In Progress
30281,CMP878914,0023-UYUPN,2024-12-27,Billing error,Closed
30288,CMP765862,0023-UYUPN,2025-02-01,Unexpected charges,In Progress
30290,CMP700406,0023-UYUPN,2025-03-05,Unexpected charges,In Progress
30284,CMP361377,0023-UYUPN,2025-03-16,Unexpected charges,Resolved
81945,CMP679607,0023-XUOPT,2024-05-16,Poor customer service,Closed
81941,CMP630653,0023-XUOPT,2024-05-31,Billing error,Open
81940,CMP974196,0023-XUOPT,2024-07-30,Service outage,Resolved
81939,CMP627311,0023-XUOPT,2024-11-05,Service outage,Resolved
81947,CMP812808,0023-XUOPT,2024-11-07,Frequent disconnection,Open
81943,CMP817412,0023-XUOPT,2024-11-08,App issue,In Progress
81942,CMP737233,0023-XUOPT,2024-12-09,Slow internet,Resolved
81944,CMP101736,0023-XUOPT,2025-01-09,Unexpected charges,In Progress
81946,CMP426906,0023-XUOPT,2025-03-03,Poor customer service,Closed
69266,CMP712396,0027-KWYKW,2024-05-13,Unexpected charges,Resolved
69272,CMP475075,0027-KWYKW,2024-05-29,Network issue,Resolved
69273,CMP320978,0027-KWYKW,2024-06-03,Service outage,Open
69267,CMP398868,0027-KWYKW,2024-07-02,Frequent disconnection,Open
69276,CMP648738,0027-KWYKW,2024-07-17,App issue,Open
69280,CMP620199,0027-KWYKW,2024-09-03,Network issue,Resolved
69268,CMP167379,0027-KWYKW,2024-09-05,Frequent disconnection,Closed
69265,CMP282278,0027-KWYKW,2024-09-21,Slow internet,In Progress
69279,CMP878541,0027-KWYKW,2024-10-12,Unexpected charges,In Progress
69275,CMP203996,0027-KWYKW,2024-10-15,Network issue,Resolved
69271,CMP860771,0027-KWYKW,2024-10-24,App issue,Open
69278,CMP853131,0027-KWYKW,2024-11-18,Slow internet,Closed
69270,CMP377796,0027-KWYKW,2024-11-28,Network issue,In Progress
69264,CMP496679,0027-KWYKW,2024-12-23,Billing error,In Progress
69277,CMP593378,0027-KWYKW,2025-01-04,Network issue,Closed
69274,CMP834781,0027-KWYKW,2025-03-05,Service outage,Resolved
69269,CMP263989,0027-KWYKW,2025-04-05,Slow internet,In Progress
9513,CMP878008,0030-FNXPP,2024-06-15,Network issue,Closed
9521,CMP979098,0030-FNXPP,2024-07-28,Unexpected charges,Open
9512,CMP152352,0030-FNXPP,2024-08-08,App issue,In Progress
9508,CMP802064,0030-FNXPP,2024-08-26,Service outage,Closed
9515,CMP839187,0030-FNXPP,2024-08-30,Unexpected charges,Closed
9509,CMP749231,0030-FNXPP,2024-09-11,Network issue,In Progress
9516,CMP474328,0030-FNXPP,2024-09-12,Unexpected charges,Closed
9510,CMP107604,0030-FNXPP,2024-09-29,Service outage,Open
9518,CMP275733,0030-FNXPP,2024-10-14,App issue,Open
9511,CMP939487,0030-FNXPP,2024-11-19,Billing error,Open
9520,CMP199255,0030-FNXPP,2025-01-26,Unexpected charges,In Progress
9522,CMP840568,0030-FNXPP,2025-01-27,Service outage,In Progress
9517,CMP373372,0030-FNXPP,2025-03-09,Network issue,In Progress
9514,CMP284420,0030-FNXPP,2025-03-12,Network issue,Closed
9519,CMP722430,0030-FNXPP,2025-03-27,App issue,Open
9523,CMP749172,0030-FNXPP,2025-04-11,Service outage,In Progress
16634,CMP829894,0031-PVLZI,2024-05-04,Network issue,In Progress
16637,CMP434570,0031-PVLZI,2024-05-26,Service outage,Closed
16641,CMP372363,0031-PVLZI,2024-06-07,Slow internet,Open
16638,CMP564495,0031-PVLZI,2024-06-16,Slow internet,In Progress
16632,CMP898499,0031-PVLZI,2024-07-29,Service outage,In Progress
16633,CMP497106,0031-PVLZI,2024-08-24,App issue,In Progress
16639,CMP184010,0031-PVLZI,2024-10-21,Unexpected charges,In Progress
16643,CMP522264,0031-PVLZI,2024-10-28,Network issue,Closed
16635,CMP787936,0031-PVLZI,2024-10-29,Network issue,Open
16642,CMP343116,0031-PVLZI,2024-10-31,Network issue,Closed
16640,CMP717917,0031-PVLZI,2024-12-25,Network issue,Resolved
16644,CMP856424,0031-PVLZI,2025-01-09,Billing error,Open
16645,CMP978979,0031-PVLZI,2025-04-12,Network issue,In Progress
16636,CMP147155,0031-PVLZI,2025-04-16,Network issue,Resolved
86293,CMP807002,0032-PGELS,2024-05-27,Frequent disconnection,Closed
86288,CMP181719,0032-PGELS,2024-07-06,Slow internet,Closed
86290,CMP924843,0032-PGELS,2024-08-17,Billing error,Closed
86298,CMP717083,0032-PGELS,2024-10-11,Frequent disconnection,Open
86295,CMP141629,0032-PGELS,2024-10-12,Service outage,Closed
86296,CMP560902,0032-PGELS,2024-11-03,Network issue,Closed
86291,CMP789985,0032-PGELS,2024-11-05,Unexpected charges,Resolved
86282,CMP873241,0032-PGELS,2024-12-08,Billing error,Open
86297,CMP296720,0032-PGELS,2024-12-09,Billing error,Resolved
86286,CMP365560,0032-PGELS,2025-01-05,Network issue,Closed
86284,CMP832204,0032-PGELS,2025-02-06,Frequent disconnection,Closed
86294,CMP551889,0032-PGELS,2025-02-23,Unexpected charges,Open
86292,CMP374577,0032-PGELS,2025-02-25,Frequent disconnection,Closed
86289,CMP116492,0032-PGELS,2025-03-16,Poor customer service,Closed
86287,CMP210106,0032-PGELS,2025-04-06,Slow internet,In Progress
86283,CMP513609,0032-PGELS,2025-04-11,Billing error,Open
86285,CMP941505,0032-PGELS,2025-04-17,App issue,Resolved
10275,CMP465357,0036-IHMOT,2024-07-15,Poor customer service,Resolved
10266,CMP338375,0036-IHMOT,2024-08-07,Frequent disconnection,In Progress
10274,CMP423527,0036-IHMOT,2024-09-08,App issue,Closed
10267,CMP421676,0036-IHMOT,2024-10-17,Network issue,In Progress
10270,CMP994076,0036-IHMOT,2024-11-02,Network issue,In Progress
10273,CMP250724,0036-IHMOT,2024-11-12,Frequent disconnection,In Progress
10276,CMP711871,0036-IHMOT,2024-12-24,App issue,Open
10269,CMP357809,0036-IHMOT,2025-01-08,Poor customer service,In Progress
10272,CMP588501,0036-IHMOT,2025-01-13,Frequent disconnection,Closed
10264,CMP360343,0036-IHMOT,2025-01-29,Billing error,Open
10265,CMP217774,0036-IHMOT,2025-02-05,Service outage,In Progress
10271,CMP966063,0036-IHMOT,2025-03-03,Network issue,Resolved
10278,CMP497689,0036-IHMOT,2025-03-04,App issue,Resolved
10268,CMP172899,0036-IHMOT,2025-03-18,Billing error,Resolved
10279,CMP861765,0036-IHMOT,2025-03-21,Billing error,Open
10277,CMP750507,0036-IHMOT,2025-04-12,Poor customer service,Closed
15333,CMP571690,0040-HALCW,2024-06-13,Slow internet,Open
15331,CMP107213,0040-HALCW,2024-08-18,Frequent disconnection,Open
15327,CMP540221,0040-HALCW,2024-09-19,Frequent disconnection,Resolved
15328,CMP147576,0040-HALCW,2024-09-23,Poor customer service,Open
15334,CMP784986,0040-HALCW,2024-11-03,Billing error,Resolved
15332,CMP904793,0040-HALCW,2024-11-09,App issue,Open
15335,CMP628378,0040-HALCW,2024-12-09,Frequent disconnection,Open
15329,CMP866157,0040-HALCW,2025-01-20,Poor customer service,In Progress
15330,CMP670069,0040-HALCW,2025-03-07,Billing error,Resolved
77060,CMP944810,0042-JVWOJ,2024-05-04,Frequent disconnection,In Progress
77066,CMP644679,0042-JVWOJ,2024-06-02,Frequent disconnection,In Progress
77069,CMP502980,0042-JVWOJ,2024-07-08,Unexpected charges,Closed
77053,CMP567342,0042-JVWOJ,2024-07-09,Unexpected charges,Open
77055,CMP854289,0042-JVWOJ,2024-07-13,Network issue,Closed
77063,CMP444878,0042-JVWOJ,2024-08-18,Service outage,Open
77054,CMP939707,0042-JVWOJ,2024-08-26,Frequent disconnection,Open
77070,CMP392376,0042-JVWOJ,2024-08-31,Unexpected charges,In Progress
77065,CMP974052,0042-JVWOJ,2024-09-16,Slow internet,In Progress
77056,CMP547243,0042-JVWOJ,2024-10-18,Frequent disconnection,Resolved
77071,CMP950883,0042-JVWOJ,2024-11-01,Slow internet,In Progress
77057,CMP249609,0042-JVWOJ,2024-11-11,Unexpected charges,Resolved
77062,CMP906753,0042-JVWOJ,2024-12-31,App issue,Resolved
77061,CMP576127,0042-JVWOJ,2025-01-09,Slow internet,Open
77064,CMP721272,0042-JVWOJ,2025-01-15,Billing error,Open
77067,CMP580576,0042-JVWOJ,2025-02-05,Slow internet,Resolved
77058,CMP781826,0042-JVWOJ,2025-03-03,Billing error,Open
77059,CMP849687,0042-JVWOJ,2025-04-20,Poor customer service,In Progress
77068,CMP887329,0042-JVWOJ,2025-04-23,Billing error,In Progress
16426,CMP178987,0042-RLHYP,2024-07-06,Slow internet,Resolved
16428,CMP647352,0042-RLHYP,2024-08-21,Unexpected charges,Open
16424,CMP283137,0042-RLHYP,2024-09-11,App issue,Closed
16420,CMP777193,0042-RLHYP,2024-10-14,Billing error,Open
16419,CMP477490,0042-RLHYP,2024-11-30,Frequent disconnection,Open
16422,CMP205578,0042-RLHYP,2025-01-03,Service outage,Resolved
16423,CMP484426,0042-RLHYP,2025-02-09,Slow internet,Closed
16425,CMP328785,0042-RLHYP,2025-02-11,Frequent disconnection,Open
16427,CMP667679,0042-RLHYP,2025-03-27,Network issue,Open
16421,CMP607793,0042-RLHYP,2025-04-23,Slow internet,In Progress
11151,CMP249429,0048-LUMLS,2024-05-20,Slow internet,In Progress
11142,CMP402740,0048-LUMLS,2024-06-01,Billing error,Open
11158,CMP754351,0048-LUMLS,2024-06-02,Slow internet,Resolved
11153,CMP515497,0048-LUMLS,2024-07-04,Billing error,Resolved
11157,CMP772565,0048-LUMLS,2024-07-23,Slow internet,Resolved
11148,CMP706852,0048-LUMLS,2024-07-27,App issue,Resolved
11143,CMP426100,0048-LUMLS,2024-10-01,Frequent disconnection,Closed
11141,CMP610241,0048-LUMLS,2024-10-17,Billing error,In Progress
11150,CMP838979,0048-LUMLS,2024-10-22,Network issue,Resolved
11147,CMP943571,0048-LUMLS,2024-10-28,Poor customer service,Resolved
11155,CMP119847,0048-LUMLS,2024-11-05,Billing error,Open
11159,CMP699078,0048-LUMLS,2024-11-10,Slow internet,Resolved
11145,CMP753280,0048-LUMLS,2024-11-23,App issue,Open
11149,CMP810339,0048-LUMLS,2024-12-06,Frequent disconnection,Resolved
11140,CMP862224,0048-LUMLS,2025-01-06,Unexpected charges,In Progress
11152,CMP307675,0048-LUMLS,2025-01-21,Frequent disconnection,Open
11144,CMP938209,0048-LUMLS,2025-02-07,Service outage,Resolved
11154,CMP977095,0048-LUMLS,2025-02-14,Poor customer service,Resolved
